timestamp,value
2026-01-14T00:00:00.123Z,0
2026-01-29T20:48:01.825Z,98460
2026-01-29T21:00:19.284Z,98490
2026-01-29T21:03:33.528Z,98495
2026-01-29T21:17:29.708Z,98605
2026-01-29T22:21:58.248Z,98840
2026-01-29T22:53:08.832Z,98875
2026-01-29T23:21:25.931Z,98885
2026-01-29T23:47:33.803Z,98930
2026-01-30T01:27:13.334Z,99025
2026-01-30T03:42:13.106Z,99105
2026-01-30T05:05:20.712Z,99105
2026-01-30T06:06:26.355Z,99140
2026-01-30T07:12:47.638Z,99185
2026-01-30T07:57:32.530Z,99295
2026-01-30T08:40:44.090Z,99400
2026-01-30T09:32:46.130Z,99485
2026-01-30T10:28:02.890Z,99680
2026-01-30T11:02:33.621Z,99805
2026-01-30T11:48:36.675Z,99890
2026-01-30T12:41:10.857Z,99975
2026-01-30T12:49:31.494Z,100020
2026-01-30T13:51:49.156Z,100095
2026-01-30T14:31:29.091Z,100140
2026-01-30T15:28:10.121Z,100290
2026-01-30T15:59:04.055Z,100340
2026-01-30T16:46:48.784Z,100410
2026-01-30T17:29:10.329Z,100595
2026-01-30T18:00:39.904Z,100635
2026-01-30T19:07:06.565Z,100690
2026-01-30T19:51:57.405Z,100745
2026-01-30T20:23:14.870Z,100785
2026-01-30T20:53:29.243Z,100900
2026-01-30T21:22:48.462Z,100960
2026-01-30T21:47:39.978Z,101010
2026-01-30T22:19:05.797Z,101060
2026-01-30T22:51:33.104Z,101145
2026-01-30T23:20:20.630Z,101165
2026-01-30T23:46:26.779Z,101195
2026-01-31T01:24:42.842Z,101240
2026-01-31T03:35:43.267Z,101265
2026-01-31T04:58:45.871Z,101265
2026-01-31T05:41:00.049Z,101265
2026-01-31T06:31:45.447Z,101285
2026-01-31T07:24:36.191Z,101300
2026-01-31T07:47:22.127Z,101315
2026-01-31T08:22:52.867Z,101370
2026-01-31T08:52:48.410Z,101395
2026-01-31T09:22:22.164Z,101425
2026-01-31T09:49:44.716Z,101470
